,Track,Artist,Date
0,Palladium,Kacy Hill,"31 Oct 2021, 15:40"
1,Concrete and Gold,Foo Fighters,"31 Oct 2021, 21:34"
2,Tear in My Heart,Twenty One Pilots,"31 Oct 2021, 21:31"
3,The Stars,Kacy Hill,"31 Oct 2021, 21:28"
4,Underdog,Imagine Dragons,"31 Oct 2021, 21:24"
5,Da Funk - Radio Edit,Daft Punk,"31 Oct 2021, 21:21"
6,Real Life,Imagine Dragons,"31 Oct 2021, 21:16"
7,65th & Ingleside,Chance the Rapper,"31 Oct 2021, 21:12"
8,"Blessings (feat. Ty Dolla $ign, Anderson .Paak, BJ The Chicago Kid, Raury & Jamila Woods)",Chance the Rapper,"31 Oct 2021, 21:08"
9,Machine,Imagine Dragons,"31 Oct 2021, 21:05"
10,POWER,Kanye West,"31 Oct 2021, 21:00"
11,JOHNNY,BROCKHAMPTON,"31 Oct 2021, 20:56"
12,I Feel It Coming,The Weeknd,"31 Oct 2021, 20:51"
13,Sad People,Kid Cudi,"31 Oct 2021, 20:48"
14,Pray for Me (with Kendrick Lamar),The Weeknd,"31 Oct 2021, 20:45"
15,Stay High - Childish Gambino Version,Childish Gambino,"31 Oct 2021, 20:41"
16,Hey Kids (Bumaye) (feat. Danny Brown),Run the Jewels,"31 Oct 2021, 05:27"
17,Hold Me Down,Daniel Caesar,"31 Oct 2021, 05:23"
18,Ain't No Mountain High Enough,Marvin Gaye,"31 Oct 2021, 05:21"
19,Dark Fantasy,Kanye West,"31 Oct 2021, 05:16"
20,24.19,Childish Gambino,"31 Oct 2021, 05:11"
21,Nights Like This (feat. Ty Dolla $ign),Kehlani,"31 Oct 2021, 04:07"
22,It's You,Ali Gatie,"31 Oct 2021, 04:04"
23,Drive On,Niki,"31 Oct 2021, 02:09"
24,Lose,Niki,"31 Oct 2021, 02:05"
25,in my head,Ariana Grande,"31 Oct 2021, 02:01"
26,Location,Khalid,"31 Oct 2021, 01:58"
27,Wide Open (Foreword),Niki,"31 Oct 2021, 01:55"
28,Say You Won't Let Go,James Arthur,"31 Oct 2021, 01:52"
29,Back in Black,AC/DC,"30 Oct 2021, 20:47"
30,SUMMER,BROCKHAMPTON,"30 Oct 2021, 20:14"
31,Jaded,Drake,"30 Oct 2021, 05:54"
32,Poison,Brent Faiyaz,"30 Oct 2021, 05:50"
33,Infrunami,Steve Lacy,"30 Oct 2021, 05:47"
34,Don't Pretend (feat. SAFE),Khalid,"30 Oct 2021, 05:44"
35,Nowhere To Run (feat. Bryson Tiller),Ryan Trey,"30 Oct 2021, 05:41"
36,I Sip,Tory Lanez,"30 Oct 2021, 05:37"
37,Hard Place,H.E.R.,"30 Oct 2021, 05:33"
38,Tonight,Summer Walker,"30 Oct 2021, 05:30"
39,Nomad,Zion.T,"30 Oct 2021, 05:27"
40,One I Want (feat. PARTYNEXTDOOR),Majid Jordan,"30 Oct 2021, 05:23"
41,Bed Peace,Jhené Aiko,"30 Oct 2021, 05:19"
42,Easy,Mac Ayres,"30 Oct 2021, 05:14"
